@relation TestSet

@attribute	Asmv	numeric
@attribute	Gsmv	numeric
@attribute	Aavg	numeric
@attribute	Astdev	numeric
@attribute	Gavg	numeric
@attribute	Gstdev	numeric
@attribute	state	{ unknown, idle, walk, active }


@data
0.983717, 8.13739, 1.10125, 0.0116592, 5.20875, 3.37523, idle
0.984937, 13.3085, 1.1, 0.01, 7.32625, 5.97947, idle
0.98453, 19.9514, 1.10125, 0.0105327, 10.255, 8.69881, idle
0.992925, 23.8936, 1.1, 0.0111803, 14.41, 11.4959, idle
0.986357, 24.7043, 1.10125, 0.0116592, 18.9088, 13.1277, idle
0.958853, 21.2561, 1.1, 0.0132288, 22.9013, 12.5572, idle
0.957549, 23.6951, 1.0975, 0.0163936, 26.8312, 11.1423, idle
1.00812, 23.8426, 1.10625, 0.0346185, 30.2737, 8.50637, idle
1.00025, 14.0756, 1.11875, 0.0434274, 31.0512, 7.09037, idle
0.975602, 4.36702, 1.13, 0.0507445, 29.1912, 10.6667, idle
1.01607, 1.50791, 1.13875, 0.0525446, 26.0262, 13.9909, idle
1.00025, 8.79326, 1.15125, 0.0513414, 23.335, 13.9322, idle
0.984784, 13.6449, 1.155, 0.0492443, 21.125, 12.5907, idle
0.982904, 8.75163, 1.16875, 0.0410602, 18.19, 11.7108, idle
0.987218, 8.11645, 1.185, 0.0180278, 15.005, 9.62625, idle
0.990606, 6.65448, 1.185, 0.0180278, 11.9163, 6.09621, idle
0.994636, 7.32954, 1.185, 0.0180278, 10.6738, 5.3806, idle
1.01143, 8.13416, 1.19, 0.0254951, 11.55, 5.04493, idle
0.997096, 5.01921, 1.195, 0.0269258, 12.1863, 4.01655, idle
1.00668, 2.53099, 1.19875, 0.0280346, 10.895, 4.74887, idle
0.992472, 2.32906, 1.20375, 0.0193245, 8.71625, 3.13538, idle
0.987168, 2.61876, 1.20375, 0.0193245, 7.6875, 3.37459, idle
0.989545, 0.739594, 1.20375, 0.0193245, 6.465, 3.76053, idle
0.994837, 2.74237, 1.20625, 0.0186665, 5.78875, 3.52703, idle
0.9993, 6.2932, 1.21, 0.0180278, 5.7525, 3.48864, idle
0.979898, 1.27153, 1.205, 0.0141421, 4.42, 2.50951, idle
0.987168, 3.27857, 1.20125, 0.0136359, 4.20375, 2.33885, idle
0.987218, 3.86886, 1.19875, 0.0116592, 4.50125, 2.42963, idle
1.00175, 6.21126, 1.205, 0.0132288, 5.1125, 2.81388, idle
0.972728, 6.0733, 1.20625, 0.0121835, 5.72625, 2.89253, idle
1.02113, 5.05564, 1.2125, 0.0185405, 6.48, 2.3042, idle
0.992018, 3.74768, 1.2125, 0.0185405, 6.45875, 2.32142, idle
0.970206, 1.73095, 1.20875, 0.0196453, 5.61125, 2.35225, idle
0.99222, 2.5602, 1.2125, 0.0204634, 5.88625, 2.01352, idle
1.00688, 3.27764, 1.21875, 0.0202716, 5.865, 2.01985, idle
0.9993, 4.34021, 1.22125, 0.0189984, 5.87125, 2.02117, idle
0.989596, 1.93106, 1.21875, 0.0189984, 5.09125, 1.90238, idle
0.989596, 2.88446, 1.22, 0.0180278, 4.6575, 1.48475, idle
1.00424, 3.32152, 1.2175, 0.0147902, 4.42, 1.20162, idle
1.00429, 2.0424, 1.22125, 0.0161536, 4.29375, 1.23804, idle
0.992018, 0.928924, 1.22375, 0.0121835, 4.1675, 1.44295, idle
0.984937, 1.38257, 1.22125, 0.0126861, 3.94375, 1.56074, idle
0.992018, 0.478957, 1.2175, 0.0108972, 3.395, 1.78214, idle
0.994585, 1.88521, 1.2175, 0.0108972, 2.9225, 1.40524, idle
0.994636, 0.604152, 1.22, 0.0111803, 2.7175, 1.54159, idle
0.994636, 2.05546, 1.2225, 0.0108972, 2.5125, 1.35246, idle
1.00175, 1.29298, 1.2225, 0.0108972, 2.11125, 0.898588, idle
1.00429, 2.6058, 1.2225, 0.0108972, 2.07625, 0.847835, idle
1.02127, 3.58989, 1.22875, 0.0153603, 2.59625, 1.43678, idle
1.00707, 9.59361, 1.235, 0.0165831, 4.0975, 4.14262, idle
0.963224, 7.41856, 1.23375, 0.0186665, 5.545, 4.72036, idle
0.970361, 3.48277, 1.23125, 0.0214695, 5.87875, 4.58865, idle
0.99925, 3.09277, 1.22875, 0.0226039, 6.32375, 4.25647, idle
0.992069, 1.71126, 1.2275, 0.0227761, 6.26, 4.30735, idle
0.992069, 2.2387, 1.22625, 0.0228788, 6.4625, 4.13605, idle
0.982395, 3.87843, 1.2225, 0.0227761, 6.7425, 3.97993, idle
1.00175, 1.91919, 1.21875, 0.0183286, 6.36, 4.20165, idle
0.992018, 2.61874, 1.2125, 0.00968246, 5.0375, 2.94687, idle
1.00175, 3.22992, 1.21625, 0.00992157, 4.1325, 1.06173, idle
1.0017, 3.26379, 1.21875, 0.00780625, 4.175, 1.10973, idle
0.989596, 3.22126, 1.21875, 0.00780625, 4.18125, 1.11213, idle
0.989596, 3.58579, 1.2175, 0.00829156, 4.505, 0.979605, idle
0.989545, 1.65858, 1.215, 0.01, 4.37375, 1.14794, idle
0.992069, 2.18291, 1.21625, 0.00992157, 4.1125, 1.10814, idle
1.0017, 3.52247, 1.215, 0.00866025, 4.40625, 0.986293, idle
1.0017, 3.29334, 1.21625, 0.00856957, 4.6025, 1.00221, idle
0.996895, 4.17405, 1.2125, 0.00829156, 4.65375, 1.03822, idle
0.9993, 2.4264, 1.2125, 0.00829156, 4.3975, 1.03837, idle
0.987218, 2.44322, 1.21125, 0.00927025, 4.2575, 1.07253, idle
0.989596, 0.845044, 1.21125, 0.00927025, 3.7275, 1.45154, idle
0.989545, 3.0435, 1.21125, 0.00927025, 3.8825, 1.38207, idle
0.989747, 0.622977, 1.21125, 0.00927025, 3.57, 1.70705, idle
0.992018, 2.07764, 1.21, 0.00866025, 3.35, 1.61976, idle
0.989596, 3.46954, 1.20875, 0.00780625, 3.3575, 1.62921, idle
0.996895, 4.97805, 1.20875, 0.00780625, 3.59625, 2.02491, idle
1.00901, 4.9452, 1.21, 0.01, 4.07875, 2.37424, idle
1.00175, 1.43283, 1.21375, 0.0111102, 3.87, 2.48586, idle
0.989545, 5.15493, 1.2125, 0.0119896, 4.7175, 2.50834, idle
0.987168, 3.81873, 1.21125, 0.0136359, 4.9825, 2.50834, idle
1.01395, 1.80461, 1.215, 0.0187083, 5.23125, 2.16309, idle
1.00688, 10.6886, 1.21875, 0.0202716, 7.105, 4.66833, idle
1.00583, 21.7635, 1.22625, 0.0259507, 10.8662, 10.403, idle
1.00901, 38.7875, 1.2375, 0.0311247, 17.8762, 20.1109, idle
0.958228, 57.4798, 1.23125, 0.0365505, 29.1337, 32.4776, idle
0.951735, 51.4455, 1.2225, 0.0435172, 39.9262, 35.7911, idle
0.972625, 37.0426, 1.22, 0.0452769, 46.6287, 34.1196, idle
0.97949, 19.0609, 1.21375, 0.0519465, 49.4225, 31.4844, idle
0.992673, 11.191, 1.205, 0.0509902, 50.8275, 29.5676, idle
0.981988, 12.8808, 1.19375, 0.0519465, 50.2537, 30.2316, idle
1.00165, 16.8232, 1.18375, 0.0432832, 48.0587, 31.8176, idle
1.00846, 18.5041, 1.17, 0.0165831, 43.025, 32.1539, idle
0.975602, 14.1129, 1.16, 0.0278388, 33.3388, 25.2363, idle
