0.02, 0.57, 0.81, 0.32, 0.14, 0.56, 0.990656, 0.66, 1.41767, 3.90467, 35.9041
0.01, 0.58, 0.83, 0.66, 2.48, 0.56, 1.01262, 2.62671, 1.41767, 3.54233, 33.9013
0.03, 0.57, 0.82, 0.43, 1.19, 0.25, 0.9991, 1.28977, 1.41833, 3.056, 34.9152
0.03, 0.57, 0.82, 0.87, 2.68, 0.85, 0.9991, 2.94309, 1.418, 2.97167, 34.9152
-0, 58, 0.81, 0.35, 5.88, 0.99, 58.0057, 5.97302, 3.332, 3.11667, 35.9041
0.04, 0.58, 0.82, 2.62, 4.24, 0.55, 1.00519, 5.01443, 3.33267, 3.123, 34.9152
0.04, 0.56, 0.83, 1.31, 0.23, 0.86, 1.00205, 1.58386, 3.33233, 2.956, 33.9013
0.05, 0.57, 0.8, 0.09, 0.89, 0.86, 0.983565, 1.24089, 3.332, 2.93733, 36.8699
0.03, 0.59, 0.83, 0.34, 3.61, 1.23, 1.01877, 3.82892, 3.333, 3.04867, 33.9013
0.01, 0.58, 0.82, 0.03, 1.1, 0.8, 1.00444, 1.36048, 3.33167, 2.94033, 34.9152
0.01, 0.56, 0.82, 1.91, 0.46, 0.75, 0.993026, 2.1029, 3.331, 2.98, 34.9152
0.03, 0.58, 0.83, 1.95, 3.81, 0.52, 1.01302, 4.3115, 3.33267, 3.08533, 33.9013
0.03, 0.57, 0.82, 0.21, 0.63, 0.02, 0.9991, 0.664379, 3.332, 2.90467, 34.9152
0.03, 0.58, 0.82, 2.22, 0.41, 0.83, 1.00484, 2.40529, 3.33233, 2.99133, 34.9152
0.03, 0.56, 0.82, 1.45, 0.2, 0.99, 0.993428, 1.76709, 3.33167, 2.964, 34.9152
0.02, 0.58, 0.82, 0.24, 2.76, 0.59, 1.00459, 2.83254, 3.332, 2.99567, 34.9152
0.02, 0.6, 0.81, 2.54, 0.48, 0.8, 1.00822, 2.70592, 3.33233, 3.00333, 35.9041
0.01, 0.57, 0.84, 3.01, 0.28, 0.69, 1.01518, 3.10074, 3.332, 3.00867, 32.8599
0.01, 0.56, 0.82, 1.27, 0.7, 0.56, 0.993026, 1.55451, 3.331, 2.96033, 34.9152
