@relation .\arff\sample03.arff

@attribute 	ax	numeric
@attribute 	ay	numeric
@attribute 	az	numeric
@attribute 	gx	numeric
@attribute 	gy	numeric
@attribute 	gz	numeric
@attribute 	SMVAcc	numeric
@attribute 	SMVGyro	numeric
@attribute 	SMA30Acc	numeric
@attribute 	SMA30Gyro	numeric
@attribute 	Angle	numeric


@data
0.49, -0.12, 0.71, -15.65, -14.51, -88.82, 0.870976, 91.348, 1.671, 216.814, 44.7651
0.38, -0.26, 0.79, -3.82, 12.33, -116.87, 0.914385, 117.581, 1.681, 211.661, 37.8145
0.39, -0.02, 1, -14.16, 34.79, -133.33, 1.07355, 138.52, 1.629, 204.162, 0
0.33, -0.21, 0.99, -23.5, 27.6, -96.05, 1.06447, 102.663, 1.63333, 204.16, 8.10961
0.11, -0.02, 0.91, -106.8, 73.97, -59.12, 0.916842, 142.734, 1.63367, 204.602, 24.4946
0.19, -0.38, 0.66, -71.05, 57.55, -67.47, 0.78492, 113.632, 1.61233, 197.188, 48.7001
-0.05, -0.38, 0.85, -35.69, 119.29, -22.96, 0.932416, 126.614, 1.60067, 189.2, 31.7883
0.22, -0.12, 0.71, 1.16, 49.95, 8.68, 0.752928, 50.7118, 1.548, 181.73, 44.7651
-0.15, -0.62, 1.05, -52.49, 116.03, -13.01, 1.22858, 128.013, 1.521, 172.471, 87.134
-0.31, -0.31, 1.01, -8.29, -3.94, -27.35, 1.10104, 28.8491, 1.50367, 165.843, 89.427
0.01, -0.2, 0.77, -59.22, -8.57, -9.62, 0.795613, 60.6053, 1.44633, 156.636, 39.6461
-0.21, -0.73, 1, -10.85, -11.25, -151.37, 1.25579, 152.175, 1.451, 154.877, 0
-0.19, -0.53, 0.76, 16.69, 25.46, -188.73, 0.945833, 191.17, 1.446, 148.757, 40.5358
0.03, -0.76, 0.81, 59.97, -26.13, -250, 1.11113, 258.417, 1.45967, 146.41, 35.9041
-0.02, -0.57, 0.86, -0.25, -19.08, -23.8, 1.03194, 30.5049, 1.439, 136.652, 30.6834
0.16, -0.47, 0.88, 38.63, -33.07, -34.19, 1.0104, 61.2769, 1.42467, 134.4, 28.3576
0.14, -0.43, 0.77, 24.93, 8.47, -44.28, 0.892973, 51.5166, 1.42, 129.293, 39.6461
0.21, -0.27, 0.88, 14.42, -15.45, -67.03, 0.94414, 70.2827, 1.412, 121.32, 28.3576
0.26, -0.24, 0.85, -35.61, 46.46, -83.63, 0.920706, 102.081, 1.39467, 121.878, 31.7883
0.01, -0.68, 0.86, 15.11, 51.53, -69.78, 1.0964, 88.0506, 1.398, 121.888, 30.6834
-0.03, -0.48, 0.74, -5.55, 92.38, -80.39, 0.882553, 122.586, 1.39967, 123.158, 42.2686
-0.16, -0.53, 0.86, 56.26, 2.1, -146.71, 1.02279, 157.141, 1.41167, 127.095, 30.6834
0.29, -0.16, 0.62, 59.1, -49.37, -105.81, 0.702922, 130.866, 1.39467, 129.949, 51.6839
0.36, -0.2, 1.02, -3.93, 45.81, -73.89, 1.1, 87.0272, 1.4, 131.663, 88.854
0.04, -0.33, 1.01, -3.49, 45.33, -81.26, 1.0633, 93.1138, 1.397, 135.492, 89.427
0.49, -0.12, 0.71, -15.65, -14.51, -88.82, 0.870976, 91.348, 1.406, 138.196, 44.7651
0.38, -0.26, 0.79, -3.82, 12.33, -116.87, 0.914385, 117.581, 1.41167, 141.659, 37.8145
0.39, -0.02, 1, -14.16, 34.79, -133.33, 1.07355, 138.52, 1.411, 146.521, 0
0.33, -0.21, 0.99, -23.5, 27.6, -96.05, 1.06447, 102.663, 1.41033, 150.189, 8.10961
0.11, -0.02, 0.91, -106.8, 73.97, -59.12, 0.916842, 142.734, 1.39533, 153.084, 24.4946
0.19, -0.38, 0.66, -71.05, 57.55, -67.47, 0.78492, 113.632, 1.39233, 155.653, 48.7001
-0.05, -0.38, 0.85, -35.69, 119.29, -22.96, 0.932416, 126.614, 1.38733, 157.151, 31.7883
0.22, -0.12, 0.71, 1.16, 49.95, 8.68, 0.752928, 50.7118, 1.37533, 153.068, 44.7651
-0.15, -0.62, 1.05, -52.49, 116.03, -13.01, 1.22858, 128.013, 1.385, 154.214, 87.134
-0.31, -0.31, 1.01, -8.29, -3.94, -27.35, 1.10104, 28.8491, 1.40467, 147.537, 89.427
0.01, -0.2, 0.77, -59.22, -8.57, -9.62, 0.795613, 60.6053, 1.39633, 143.581, 39.6461
-0.21, -0.73, 1, -10.85, -11.25, -151.37, 1.25579, 152.175, 1.41833, 143.432, 0
-0.19, -0.53, 0.76, 16.69, 25.46, -188.73, 0.945833, 191.17, 1.43267, 149.135, 40.5358
0.03, -0.76, 0.81, 59.97, -26.13, -250, 1.11113, 258.417, 1.42533, 154.288, 35.9041
0.03, -0.49, 0.78, 0.65, 9.9, -46.68, 0.921629, 47.7227, 1.41433, 154.876, 38.7394
