@relation TestSet

@attribute	Asmv	numeric
@attribute	Gsmv	numeric
@attribute	Aavg	numeric
@attribute	Astdev	numeric
@attribute	Gavg	numeric
@attribute	Gstdev	numeric
@attribute	state	{ unknown, idle, walk, active }


@data
0.975602, 4.36702, 1.115, 0.037305, 16.53, 14.0245, idle
1.01607, 1.50791, 1.11889, 0.0401233, 16.5383, 14.0158, idle
1.00025, 8.79326, 1.12278, 0.0433084, 17.1311, 13.6755, idle
0.984784, 13.6449, 1.125, 0.0431084, 18.1061, 13.3176, idle
0.982904, 8.75163, 1.13, 0.0450925, 18.6089, 12.8831, idle
0.987218, 8.11645, 1.13556, 0.0471666, 19.0372, 12.4833, idle
0.990606, 6.65448, 1.14111, 0.0473625, 19.4256, 12.0838, idle
0.994636, 7.32954, 1.14667, 0.0469042, 19.6894, 11.8121, idle
1.01143, 8.13416, 1.15333, 0.0509902, 19.9872, 11.5599, idle
0.997096, 5.01921, 1.16056, 0.050714, 19.6394, 11.845, idle
1.00668, 2.53099, 1.16667, 0.0508811, 18.7172, 12.3771, idle
0.992472, 2.32906, 1.17056, 0.0490433, 17.4222, 12.6262, idle
0.987168, 2.61876, 1.17611, 0.0451096, 15.6211, 12.188, idle
0.989545, 0.739594, 1.18111, 0.0424119, 13.5067, 11.1883, idle
0.994837, 2.74237, 1.18833, 0.035, 11.82, 10.045, idle
0.9993, 6.2932, 1.19667, 0.0208167, 10.3211, 8.10248, idle
0.979898, 1.27153, 1.19722, 0.0207647, 8.49667, 5.73721, idle
0.987168, 3.27857, 1.19722, 0.0207647, 7.70722, 5.10164, idle
0.987218, 3.86886, 1.19722, 0.0207647, 7.74389, 5.08879, idle
1.00175, 6.21126, 1.2, 0.0216025, 8.12722, 4.89798, idle
0.972728, 6.0733, 1.20056, 0.0214663, 7.795, 4.671, idle
1.02113, 5.05564, 1.20667, 0.0188562, 6.99778, 3.29646, idle
0.992018, 3.74768, 1.20778, 0.0184257, 6.60611, 3.14654, idle
0.970206, 1.73095, 1.20722, 0.0187988, 6.14611, 3.09883, idle
0.99222, 2.5602, 1.20944, 0.0189948, 5.81667, 2.97477, idle
